feature,mean_absolute_shap_value,rank
C13,0.3306851251385767,1
TransactionAmt,0.25956728851501004,2
C1,0.2127035917849668,3
C14,0.19863818323432922,4
card1,0.1983266711707547,5
card6,0.19587217600131407,6
V258,0.18998178095867235,7
C5,0.18408223903173349,8
card2,0.1615390855743123,9
D1,0.1386116402153178,10
V70,0.13663777335220947,11
C11,0.1350739580107814,12
M4,0.1303801020674388,13
C2,0.11723458466869245,14
P_emaildomain,0.11645823736558426,15
M6,0.11374504348043896,16
addr1,0.11146946464097164,17
D2,0.10606610673780476,18
D15,0.10373088251734165,19
card5,0.10107921087379994,20
D4,0.09876178443629276,21
M5,0.09696351718577687,22
V294,0.09684432021000733,23
dist1,0.09198803884627947,24
C6,0.0838500610610378,25
D10,0.08327767550807524,26
D3,0.0809970776399229,27
V91,0.07373317092113818,28
ProductCD,0.06110763913115564,29
D11,0.05444806088507418,30
R_emaildomain,0.051204510626654764,31
C8,0.04699367349082513,32
M3,0.04688696450001953,33
C9,0.044503249409652196,34
id_17,0.04234583205578383,35
id_31,0.04135835585781994,36
V308,0.038416876701889126,37
V285,0.035178993104738765,38
card4,0.03500624260291261,39
D8,0.03492415984606487,40
DeviceInfo,0.0325970896466212,41
M7,0.031646174774160804,42
id_20,0.030916804054321498,43
V283,0.03043425345332556,44
V82,0.02773077795058877,45
id_30,0.02746783372835489,46
V310,0.026590624726733646,47
V187,0.025993676712891708,48
V53,0.025916525582681062,49
id_02,0.02488638219121155,50
V317,0.024853059048693164,51
D5,0.024191434677633274,52
V34,0.02347541033380791,53
V49,0.023114415389357722,54
id_01,0.022442425273087187,55
card3,0.021603599193433184,56
V312,0.021493763408541176,57
id_19,0.021231423784732518,58
V130,0.020970931751856974,59
V281,0.02095366334062904,60
C10,0.020141938001560146,61
V201,0.01977139454391969,62
V30,0.01915023955042701,63
D13,0.01905503833553909,64
id_05,0.01855348311092045,65
V2,0.017456517373037057,66
id_06,0.017340197159486707,67
V307,0.016716930857564875,68
V316,0.0164797119763219,69
V83,0.016145048053377346,70
V99,0.01611314083521817,71
V313,0.015569868024959153,72
V136,0.01546173016435326,73
V38,0.015329525014436513,74
V12,0.015295432074344717,75
V87,0.014984657572189463,76
V62,0.01494179316603974,77
DeviceType,0.0148838803274557,78
dist2,0.01485744856367819,79
V311,0.014671683487128273,80
M9,0.014234015110722491,81
V218,0.013680143653389678,82
V320,0.01356199686988839,83
V33,0.013457735631620381,84
V48,0.013367705854543601,85
id_14,0.013118947930372087,86
id_13,0.0129893387639216,87
V55,0.012779377252678387,88
V315,0.012632094834307888,89
V24,0.01210527953904087,90
V165,0.011613481908309041,91
V54,0.011408581366085248,92
V11,0.011340505240765197,93
V45,0.011171207134739536,94
V13,0.011170647459162865,95
V291,0.011006811278448974,96
V19,0.010871387193077075,97
V133,0.010865260937853843,98
C4,0.010815731833633132,99
M8,0.010583517175575253,100
V66,0.010476312274324301,101
V314,0.010274574963043657,102
V76,0.010004543662294358,103
