window_start,window_end,scenario_type,expected_spike,status,primary_driver,review_rate,payment_incident_rate,critical_high_incident_rate,debit_service_mismatch_rate,complaint_escalation_rate,retry_risk_rate,recommended_action
2026-08-27T10:00:00,2026-08-27T10:15:00,NORMAL,False,NORMAL,NONE,0.1,0.0375,0.0375,0.025,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T10:15:00,2026-08-27T10:30:00,NORMAL,False,NORMAL,NONE,0.1375,0.025,0.025,0.025,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T10:30:00,2026-08-27T10:45:00,NORMAL,False,NORMAL,NONE,0.1375,0.075,0.05,0.0375,0.0125,0.025,Continue monitoring current operating conditions.
2026-08-27T10:45:00,2026-08-27T11:00:00,NORMAL,False,NORMAL,NONE,0.175,0.1125,0.1125,0.025,0.025,0.0,Continue monitoring current operating conditions.
2026-08-27T11:00:00,2026-08-27T11:15:00,NORMAL,False,NORMAL,NONE,0.1625,0.05,0.05,0.0375,0.0125,0.0,Continue monitoring current operating conditions.
2026-08-27T11:15:00,2026-08-27T11:30:00,NORMAL,False,NORMAL,NONE,0.1625,0.05,0.05,0.0375,0.0125,0.0,Continue monitoring current operating conditions.
2026-08-27T11:30:00,2026-08-27T11:45:00,NORMAL,False,NORMAL,NONE,0.1875,0.0125,0.0125,0.0,0.0125,0.0,Continue monitoring current operating conditions.
2026-08-27T11:45:00,2026-08-27T12:00:00,NORMAL,False,NORMAL,NONE,0.1375,0.025,0.025,0.0125,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T12:00:00,2026-08-27T12:15:00,NORMAL,False,NORMAL,NONE,0.1,0.0625,0.05,0.0125,0.0125,0.0125,Continue monitoring current operating conditions.
2026-08-27T12:15:00,2026-08-27T12:30:00,NORMAL,False,NORMAL,NONE,0.125,0.075,0.075,0.0375,0.0125,0.0,Continue monitoring current operating conditions.
2026-08-27T12:30:00,2026-08-27T12:45:00,NORMAL,False,NORMAL,NONE,0.075,0.0875,0.075,0.025,0.0125,0.0125,Continue monitoring current operating conditions.
2026-08-27T12:45:00,2026-08-27T13:00:00,NORMAL,False,NORMAL,NONE,0.15,0.05,0.05,0.0375,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T13:00:00,2026-08-27T13:15:00,NORMAL,False,NORMAL,NONE,0.2,0.0625,0.0625,0.0375,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T13:15:00,2026-08-27T13:30:00,NORMAL,False,NORMAL,NONE,0.125,0.0625,0.05,0.0375,0.0,0.0125,Continue monitoring current operating conditions.
2026-08-27T13:30:00,2026-08-27T13:45:00,NORMAL,False,NORMAL,NONE,0.1,0.0375,0.025,0.0,0.0,0.0125,Continue monitoring current operating conditions.
2026-08-27T13:45:00,2026-08-27T14:00:00,NORMAL,False,NORMAL,NONE,0.15,0.05,0.05,0.025,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T14:00:00,2026-08-27T14:15:00,NORMAL,False,NORMAL,NONE,0.05,0.0,0.0,0.0,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T14:15:00,2026-08-27T14:30:00,NORMAL,False,NORMAL,NONE,0.0875,0.075,0.05,0.025,0.0125,0.025,Continue monitoring current operating conditions.
2026-08-27T14:30:00,2026-08-27T14:45:00,NORMAL,False,NORMAL,NONE,0.1125,0.0625,0.0625,0.0375,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T14:45:00,2026-08-27T15:00:00,NORMAL,False,NORMAL,NONE,0.1,0.0625,0.05,0.0375,0.0,0.0125,Continue monitoring current operating conditions.
2026-08-27T15:00:00,2026-08-27T15:15:00,NORMAL,False,NORMAL,NONE,0.125,0.075,0.0625,0.0125,0.0125,0.0125,Continue monitoring current operating conditions.
2026-08-27T15:15:00,2026-08-27T15:30:00,NORMAL,False,NORMAL,NONE,0.1,0.075,0.05,0.025,0.0125,0.025,Continue monitoring current operating conditions.
2026-08-27T15:30:00,2026-08-27T15:45:00,NORMAL,False,NORMAL,NONE,0.0875,0.0625,0.05,0.025,0.0,0.0125,Continue monitoring current operating conditions.
2026-08-27T15:45:00,2026-08-27T16:00:00,NORMAL,False,NORMAL,NONE,0.1875,0.0625,0.05,0.05,0.0,0.0125,Continue monitoring current operating conditions.
2026-08-27T16:00:00,2026-08-27T16:15:00,NORMAL,False,NORMAL,NONE,0.1,0.025,0.025,0.025,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T16:15:00,2026-08-27T16:30:00,NORMAL,False,NORMAL,NONE,0.1,0.1,0.0875,0.0375,0.025,0.0125,Continue monitoring current operating conditions.
2026-08-27T16:30:00,2026-08-27T16:45:00,NORMAL,False,NORMAL,NONE,0.1,0.05,0.05,0.0375,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T16:45:00,2026-08-27T17:00:00,NORMAL,False,NORMAL,NONE,0.1125,0.025,0.025,0.025,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T17:00:00,2026-08-27T17:15:00,NORMAL,False,NORMAL,NONE,0.0625,0.0125,0.0125,0.0,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T17:15:00,2026-08-27T17:30:00,NORMAL,False,NORMAL,NONE,0.1375,0.0375,0.0125,0.0,0.0,0.025,Continue monitoring current operating conditions.
2026-08-27T17:30:00,2026-08-27T17:45:00,NORMAL,False,NORMAL,NONE,0.1125,0.0125,0.0125,0.0125,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T17:45:00,2026-08-27T18:00:00,NORMAL,False,NORMAL,NONE,0.125,0.0625,0.05,0.025,0.0,0.0125,Continue monitoring current operating conditions.
2026-08-27T18:00:00,2026-08-27T18:15:00,NORMAL,False,NORMAL,NONE,0.075,0.05,0.025,0.0,0.0,0.025,Continue monitoring current operating conditions.
2026-08-27T18:15:00,2026-08-27T18:30:00,NORMAL,False,NORMAL,NONE,0.1125,0.0625,0.0375,0.0,0.025,0.025,Continue monitoring current operating conditions.
2026-08-27T18:30:00,2026-08-27T18:45:00,NORMAL,False,NORMAL,NONE,0.0875,0.05,0.0375,0.0125,0.0125,0.0125,Continue monitoring current operating conditions.
2026-08-27T18:45:00,2026-08-27T19:00:00,NORMAL,False,NORMAL,NONE,0.0625,0.075,0.075,0.0625,0.0125,0.0,Continue monitoring current operating conditions.
2026-08-27T19:00:00,2026-08-27T19:15:00,NORMAL,False,NORMAL,NONE,0.1,0.05,0.05,0.0375,0.0,0.0,Continue monitoring current operating conditions.
2026-08-27T19:15:00,2026-08-27T19:30:00,NORMAL,False,NORMAL,NONE,0.1375,0.025,0.025,0.0125,0.0,0.0,Continue monitoring current operating conditions.
