scenario,threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,review_rate,fraud_amount_detected,fraud_amount_missed,missed_fraud_cost,false_positive_cost,total_estimated_cost,fraud_loss_multiplier,review_cost_per_transaction
low,0.01,0.03722340177464685,0.9970414201183432,0.07176744791358565,3033,78448,7091,9,0.9198473713324528,496656.738,250.85000000000002,250.85000000000002,78448.0,78698.85,1.0,1.0
low,0.02,0.0410460920756355,0.9947403024326101,0.07883903913292689,3026,70696,14843,16,0.8322552240322417,495810.88800000004,1096.7,1096.7,70696.0,71792.7,1.0,1.0
low,0.03,0.044962928706756375,0.9907955292570677,0.08602211915804495,3014,64019,21520,28,0.7567424165453088,494726.863,2180.725,2180.725,64019.0,66199.725,1.0,1.0
low,0.04,0.04895230330207909,0.9868507560815253,0.09327761119828483,3002,58323,27216,40,0.6923042187376526,493840.709,3066.879,3066.879,58323.0,61389.879,1.0,1.0
low,0.05,0.05286952821658422,0.980276134122288,0.10032803431743628,2982,53421,32118,60,0.6367392555965726,492411.68999999994,4495.898,4495.898,53421.0,57916.898,1.0,1.0
low,0.06,0.05652831199647894,0.9710716633793557,0.10683737499773956,2954,49303,36236,88,0.5899346360957768,490173.828,6733.76,6733.76,49303.0,56036.76,1.0,1.0
low,0.07,0.06060481042947316,0.9658119658119658,0.1140527950310559,2938,45540,39999,104,0.547273117259909,489279.571,7628.017000000001,7628.017000000001,45540.0,53168.017,1.0,1.0
low,0.08,0.06469062451504201,0.9592373438527285,0.12120708633616482,2918,42189,43350,124,0.5092175522967679,487714.39,9193.198000000002,9193.198000000002,42189.0,51382.198000000004,1.0,1.0
low,0.09,0.06903277986583567,0.9539776462853385,0.1287488908606921,2902,39136,46403,140,0.47457129632765493,483806.093,13101.494999999999,13101.494999999999,39136.0,52237.494999999995,1.0,1.0
low,0.1,0.07327619096065316,0.9470742932281394,0.1360277626950589,2881,36436,49103,161,0.44385364807351463,476913.327,19994.261,19994.261,36436.0,56430.261,1.0,1.0
low,0.11,0.07776902815868791,0.9414858645627876,0.14367052095613134,2864,33963,51576,178,0.41574378252672695,474894.93999999994,22012.648,22012.648,33963.0,55975.648,1.0,1.0
low,0.12,0.08244850594720046,0.9342537804076265,0.15152484538281083,2842,31628,53911,200,0.38913536762962714,472091.447,24816.141,24816.141,31628.0,56444.141,1.0,1.0
low,0.13,0.08696188479092143,0.9270216962524654,0.1590076120665351,2820,29608,55931,222,0.3660830200607354,469826.708,27080.880000000005,27080.880000000005,29608.0,56688.880000000005,1.0,1.0
low,0.14,0.09232187541156328,0.9217619986850756,0.16783384210211288,2804,27568,57971,238,0.34287262505503435,468289.375,28618.213000000003,28618.213000000003,27568.0,56186.213,1.0,1.0
low,0.15,0.09723532906923911,0.9145299145299145,0.17578112659147632,2782,25829,59710,260,0.3229925153249568,464225.691,32681.897,32681.897,25829.0,58510.897,1.0,1.0
low,0.16,0.10229923358880373,0.908284023668639,0.18388739143456126,2763,24246,61293,279,0.30490737291292713,462993.17000000004,33914.418000000005,33914.418000000005,24246.0,58160.418000000005,1.0,1.0
low,0.17,0.10764583578517908,0.9020381328073636,0.1923386955455087,2744,22747,62792,298,0.28777051512175295,458406.68700000003,38500.901,38500.901,22747.0,61247.901,1.0,1.0
low,0.18,0.11265092734741297,0.8925049309664694,0.2000515786759017,2715,21386,64153,327,0.2720786624671205,455590.432,41317.156,41317.156,21386.0,62703.156,1.0,1.0
low,0.19,0.118248431398359,0.8859303090072321,0.2086478535206906,2695,20096,65443,347,0.25728993802282657,450823.448,46084.14,46084.14,20096.0,66180.14,1.0,1.0
low,0.2,0.12405075013891462,0.8806706114398422,0.21746895040181832,2679,18917,66622,363,0.2437994603808943,448991.48099999997,47916.106999999996,47916.106999999996,18917.0,66833.10699999999,1.0,1.0
low,0.21,0.1296278254091972,0.8747534516765286,0.2257955027577429,2661,17867,67672,381,0.23174269877287454,447107.658,49799.93,49799.93,17867.0,67666.93,1.0,1.0
low,0.22,0.13575241223568055,0.8694937541091388,0.23483974074402914,2645,16839,68700,397,0.21995687562795632,445286.326,51621.262,51621.262,16839.0,68460.262,1.0,1.0
low,0.23,0.14189225698384395,0.8632478632478633,0.24372360666388232,2626,15881,69658,416,0.20892742235919667,443353.279,53554.308999999994,53554.308999999994,15881.0,69435.309,1.0,1.0
low,0.24,0.14711222058322931,0.8523997370151216,0.2509192955293207,2593,15033,70506,449,0.19898172294284328,436397.44200000004,60510.14599999999,60510.14599999999,15033.0,75543.146,1.0,1.0
low,0.25,0.153173517339837,0.846482577251808,0.2594066387951443,2575,14236,71303,467,0.18978110430001918,433120.502,63787.086,63787.086,14236.0,78023.08600000001,1.0,1.0
low,0.26,0.15971177944862155,0.8379355687047995,0.2682875486790864,2549,13411,72128,493,0.18017407796254276,429519.196,67388.39199999999,67388.39199999999,13411.0,80799.39199999999,1.0,1.0
low,0.27,0.16542141827238172,0.8297172912557528,0.27584699453551914,2524,12734,72805,518,0.1722491279168219,425392.441,71515.147,71515.147,12734.0,84249.147,1.0,1.0
low,0.28,0.17119026457920283,0.8231426692965155,0.2834342633991737,2504,12123,73416,538,0.1651257041577765,423490.861,73416.727,73416.727,12123.0,85539.727,1.0,1.0
low,0.29,0.177095968605066,0.8159105851413544,0.29102421293310665,2482,11533,74006,560,0.1582167733486865,419997.57300000003,76910.015,76910.015,11533.0,88443.015,1.0,1.0
low,0.3,0.18354241338112307,0.8080210387902695,0.29913593769015456,2458,10934,74605,584,0.15118366241067496,413179.20999999996,83728.378,83728.378,10934.0,94662.378,1.0,1.0
low,0.31,0.19023477107869902,0.8017751479289941,0.30750803757170775,2439,10382,75157,603,0.1447375848093835,410254.41500000004,86653.17300000001,86653.17300000001,10382.0,97035.17300000001,1.0,1.0
low,0.32,0.1971153846153846,0.7952005259697568,0.3159200731356928,2419,9853,75686,623,0.13853986746593513,408788.349,88119.239,88119.239,9853.0,97972.239,1.0,1.0
low,0.33,0.2038232795242141,0.7886259040105194,0.3239265460437483,2399,9371,76168,643,0.13287273794606067,406070.892,90836.696,90836.696,9371.0,100207.696,1.0,1.0
low,0.34,0.21061978334221276,0.779750164365549,0.33165548098434006,2372,8890,76649,670,0.1271378738104108,401506.35900000005,95401.22899999999,95401.22899999999,8890.0,104291.22899999999,1.0,1.0
low,0.35,0.21735506575291721,0.7715318869165023,0.3391618497109827,2347,8451,77088,695,0.12189973019044716,397585.341,99322.247,99322.247,8451.0,107773.247,1.0,1.0
low,0.36,0.22472018525665766,0.7656147271531887,0.3474563628226167,2329,8035,77504,713,0.11700025964936048,394593.461,102314.127,102314.127,8035.0,110349.127,1.0,1.0
low,0.37,0.2316633266533066,0.760026298487837,0.35509138381201044,2312,7668,77871,730,0.11266524423973538,392915.88800000004,103991.70000000001,103991.70000000001,7668.0,111659.70000000001,1.0,1.0
low,0.38,0.23931623931623933,0.7547666009204471,0.36340614118391895,2296,7298,78241,746,0.10830765062485183,390486.47699999996,106421.111,106421.111,7298.0,113719.111,1.0,1.0
low,0.39,0.2461738847281016,0.7455621301775148,0.3701346389228886,2268,6945,78594,774,0.10400650252311444,385675.508,111232.08,111232.08,6945.0,118177.08,1.0,1.0
low,0.4,0.2521915037086986,0.73767258382643,0.3758793969849246,2244,6654,78885,798,0.10045043519490636,380546.74700000003,116360.84099999999,116360.84099999999,6654.0,123014.84099999999,1.0,1.0
low,0.41,0.25941471376938324,0.7314266929651545,0.38299337292365954,2225,6352,79187,817,0.09682663325092289,376663.519,120244.069,120244.069,6352.0,126596.069,1.0,1.0
low,0.42,0.2677641931969495,0.7271531886916502,0.3914005131381049,2212,6049,79490,830,0.09325927682008557,373998.04099999997,122909.54699999999,122909.54699999999,6049.0,128958.54699999999,1.0,1.0
low,0.43,0.2755806654111739,0.7215647600262984,0.3988371036613064,2195,5770,79769,847,0.08991770244183289,371441.141,125466.44699999999,125466.44699999999,5770.0,131236.447,1.0,1.0
low,0.44,0.2832008340935749,0.7143326758711374,0.4055996266915539,2173,5500,80039,869,0.08662128447409716,367087.414,129820.174,129820.174,5500.0,135320.174,1.0,1.0
low,0.45,0.2911186440677966,0.7057856673241288,0.41221080925410386,2147,5228,80311,895,0.08325713189058602,361732.511,135175.077,135175.077,5228.0,140403.077,1.0,1.0
low,0.46,0.30045095828635854,0.7008547008547008,0.4205957782600118,2132,4964,80575,910,0.08010747225703028,358107.125,138800.463,138800.463,4964.0,143764.463,1.0,1.0
low,0.47,0.30871405634213983,0.6952662721893491,0.4275750530678257,2115,4736,80803,927,0.07734164211286845,354748.63800000004,142158.95,142158.95,4736.0,146894.95,1.0,1.0
low,0.48,0.3177966101694915,0.6903353057199211,0.43523316062176165,2100,4508,81031,942,0.07459839017396507,350541.738,146365.84999999998,146365.84999999998,4508.0,150873.84999999998,1.0,1.0
low,0.49,0.32615191067777954,0.6817882971729126,0.4412296564195298,2074,4285,81254,968,0.0717874036192863,345216.658,151690.93,151690.93,4285.0,155975.93,1.0,1.0
low,0.5,0.3350666233344166,0.6778435239973701,0.44845585036972596,2062,4092,81447,980,0.06947313758029375,343130.208,153777.38,153777.38,4092.0,157869.38,1.0,1.0
low,0.51,0.34202118715318647,0.6686390532544378,0.4525531204805874,2034,3913,81626,1008,0.06713629333604272,337855.583,159052.005,159052.005,3913.0,162965.005,1.0,1.0
