threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,review_rate
0.01,0.03722340177464685,0.9970414201183432,0.07176744791358565,3033,78448,7091,9,0.9198473713324528
0.02,0.0410460920756355,0.9947403024326101,0.07883903913292689,3026,70696,14843,16,0.8322552240322417
0.03,0.044962928706756375,0.9907955292570677,0.08602211915804495,3014,64019,21520,28,0.7567424165453088
0.04,0.04895230330207909,0.9868507560815253,0.09327761119828483,3002,58323,27216,40,0.6923042187376526
0.05,0.05286952821658422,0.980276134122288,0.10032803431743628,2982,53421,32118,60,0.6367392555965726
0.06,0.05652831199647894,0.9710716633793557,0.10683737499773956,2954,49303,36236,88,0.5899346360957768
0.07,0.06060481042947316,0.9658119658119658,0.1140527950310559,2938,45540,39999,104,0.547273117259909
0.08,0.06469062451504201,0.9592373438527285,0.12120708633616482,2918,42189,43350,124,0.5092175522967679
0.09,0.06903277986583567,0.9539776462853385,0.1287488908606921,2902,39136,46403,140,0.47457129632765493
0.1,0.07327619096065316,0.9470742932281394,0.1360277626950589,2881,36436,49103,161,0.44385364807351463
0.11,0.07776902815868791,0.9414858645627876,0.14367052095613134,2864,33963,51576,178,0.41574378252672695
0.12,0.08244850594720046,0.9342537804076265,0.15152484538281083,2842,31628,53911,200,0.38913536762962714
0.13,0.08696188479092143,0.9270216962524654,0.1590076120665351,2820,29608,55931,222,0.3660830200607354
0.14,0.09232187541156328,0.9217619986850756,0.16783384210211288,2804,27568,57971,238,0.34287262505503435
0.15,0.09723532906923911,0.9145299145299145,0.17578112659147632,2782,25829,59710,260,0.3229925153249568
0.16,0.10229923358880373,0.908284023668639,0.18388739143456126,2763,24246,61293,279,0.30490737291292713
0.17,0.10764583578517908,0.9020381328073636,0.1923386955455087,2744,22747,62792,298,0.28777051512175295
0.18,0.11265092734741297,0.8925049309664694,0.2000515786759017,2715,21386,64153,327,0.2720786624671205
0.19,0.118248431398359,0.8859303090072321,0.2086478535206906,2695,20096,65443,347,0.25728993802282657
0.2,0.12405075013891462,0.8806706114398422,0.21746895040181832,2679,18917,66622,363,0.2437994603808943
0.21,0.1296278254091972,0.8747534516765286,0.2257955027577429,2661,17867,67672,381,0.23174269877287454
0.22,0.13575241223568055,0.8694937541091388,0.23483974074402914,2645,16839,68700,397,0.21995687562795632
0.23,0.14189225698384395,0.8632478632478633,0.24372360666388232,2626,15881,69658,416,0.20892742235919667
0.24,0.14711222058322931,0.8523997370151216,0.2509192955293207,2593,15033,70506,449,0.19898172294284328
0.25,0.153173517339837,0.846482577251808,0.2594066387951443,2575,14236,71303,467,0.18978110430001918
0.26,0.15971177944862155,0.8379355687047995,0.2682875486790864,2549,13411,72128,493,0.18017407796254276
0.27,0.16542141827238172,0.8297172912557528,0.27584699453551914,2524,12734,72805,518,0.1722491279168219
0.28,0.17119026457920283,0.8231426692965155,0.2834342633991737,2504,12123,73416,538,0.1651257041577765
0.29,0.177095968605066,0.8159105851413544,0.29102421293310665,2482,11533,74006,560,0.1582167733486865
0.3,0.18354241338112307,0.8080210387902695,0.29913593769015456,2458,10934,74605,584,0.15118366241067496
0.31,0.19023477107869902,0.8017751479289941,0.30750803757170775,2439,10382,75157,603,0.1447375848093835
0.32,0.1971153846153846,0.7952005259697568,0.3159200731356928,2419,9853,75686,623,0.13853986746593513
0.33,0.2038232795242141,0.7886259040105194,0.3239265460437483,2399,9371,76168,643,0.13287273794606067
0.34,0.21061978334221276,0.779750164365549,0.33165548098434006,2372,8890,76649,670,0.1271378738104108
0.35,0.21735506575291721,0.7715318869165023,0.3391618497109827,2347,8451,77088,695,0.12189973019044716
