event_id,event_time,transaction_id,payment_id,merchant_id,fraud_risk_score,fraud_decision,payment_incident_detected,payment_incident_type,payment_incident_severity,amount,payment_method,scenario_type,expected_spike,synthetic_monitoring_note
mon_evt_0000001,2026-08-27T10:00:00,10000001,pay_mon_0000001,merchant_050,0.031501,ALLOW,False,NORMAL_PAYMENT,NONE,53.17,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000002,2026-08-27T10:00:11,10000002,pay_mon_0000002,merchant_022,0.002967,ALLOW,False,NORMAL_PAYMENT,NONE,159.16,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000003,2026-08-27T10:00:22,10000003,pay_mon_0000003,merchant_100,0.069416,ALLOW,False,NORMAL_PAYMENT,NONE,234.32,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000004,2026-08-27T10:00:33,10000004,pay_mon_0000004,merchant_092,0.007584,ALLOW,False,NORMAL_PAYMENT,NONE,45.43,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000005,2026-08-27T10:00:45,10000005,pay_mon_0000005,merchant_059,0.07037,ALLOW,False,NORMAL_PAYMENT,NONE,168.62,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000006,2026-08-27T10:00:56,10000006,pay_mon_0000006,merchant_003,0.066675,ALLOW,False,NORMAL_PAYMENT,NONE,52.1,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000007,2026-08-27T10:01:07,10000007,pay_mon_0000007,merchant_080,0.17278,ALLOW,False,NORMAL_PAYMENT,NONE,12.1,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000008,2026-08-27T10:01:18,10000008,pay_mon_0000008,merchant_027,0.577799,ALLOW,False,NORMAL_PAYMENT,NONE,179.28,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000009,2026-08-27T10:01:30,10000009,pay_mon_0000009,merchant_022,0.0711,ALLOW,False,NORMAL_PAYMENT,NONE,14.08,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000010,2026-08-27T10:01:41,10000010,pay_mon_0000010,merchant_015,0.15729,ALLOW,False,NORMAL_PAYMENT,NONE,43.46,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000011,2026-08-27T10:01:52,10000011,pay_mon_0000011,merchant_089,0.042423,ALLOW,False,NORMAL_PAYMENT,NONE,66.65,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000012,2026-08-27T10:02:03,10000012,pay_mon_0000012,merchant_057,0.884083,REVIEW,False,NORMAL_PAYMENT,NONE,130.06,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000013,2026-08-27T10:02:15,10000013,pay_mon_0000013,merchant_006,0.901257,REVIEW,False,NORMAL_PAYMENT,NONE,249.96,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000014,2026-08-27T10:02:26,10000014,pay_mon_0000014,merchant_023,0.964415,REVIEW,False,NORMAL_PAYMENT,NONE,123.45,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000015,2026-08-27T10:02:37,10000015,pay_mon_0000015,merchant_100,0.009149,ALLOW,False,NORMAL_PAYMENT,NONE,102.03,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000016,2026-08-27T10:02:48,10000016,pay_mon_0000016,merchant_047,0.073837,ALLOW,False,NORMAL_PAYMENT,NONE,32.11,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000017,2026-08-27T10:03:00,10000017,pay_mon_0000017,merchant_037,0.087279,ALLOW,False,NORMAL_PAYMENT,NONE,20.92,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000018,2026-08-27T10:03:11,10000018,pay_mon_0000018,merchant_046,0.325998,ALLOW,False,NORMAL_PAYMENT,NONE,46.6,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000019,2026-08-27T10:03:22,10000019,pay_mon_0000019,merchant_007,0.020074,ALLOW,False,NORMAL_PAYMENT,NONE,197.65,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000020,2026-08-27T10:03:33,10000020,pay_mon_0000020,merchant_069,0.045128,ALLOW,False,NORMAL_PAYMENT,NONE,185.62,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000021,2026-08-27T10:03:45,10000021,pay_mon_0000021,merchant_109,0.029672,ALLOW,False,NORMAL_PAYMENT,NONE,45.62,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000022,2026-08-27T10:03:56,10000022,pay_mon_0000022,merchant_027,0.113586,ALLOW,False,NORMAL_PAYMENT,NONE,14.35,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000023,2026-08-27T10:04:07,10000023,pay_mon_0000023,merchant_023,0.080458,REVIEW,False,NORMAL_PAYMENT,NONE,102.92,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000024,2026-08-27T10:04:18,10000024,pay_mon_0000024,merchant_059,0.016527,ALLOW,False,NORMAL_PAYMENT,NONE,45.16,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000025,2026-08-27T10:04:30,10000025,pay_mon_0000025,merchant_086,0.009343,ALLOW,False,NORMAL_PAYMENT,NONE,50.84,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000026,2026-08-27T10:04:41,10000026,pay_mon_0000026,merchant_017,0.117147,ALLOW,False,NORMAL_PAYMENT,NONE,56.85,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000027,2026-08-27T10:04:52,10000027,pay_mon_0000027,merchant_076,0.377339,ALLOW,False,NORMAL_PAYMENT,NONE,71.58,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000028,2026-08-27T10:05:03,10000028,pay_mon_0000028,merchant_007,0.013478,ALLOW,True,CAPTURED_BUT_UNFULFILLED,HIGH,158.79,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000029,2026-08-27T10:05:15,10000029,pay_mon_0000029,merchant_021,0.229816,REVIEW,False,NORMAL_PAYMENT,NONE,21.28,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000030,2026-08-27T10:05:26,10000030,pay_mon_0000030,merchant_031,0.015173,ALLOW,False,NORMAL_PAYMENT,NONE,45.73,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000031,2026-08-27T10:05:37,10000031,pay_mon_0000031,merchant_069,0.046671,ALLOW,False,NORMAL_PAYMENT,NONE,38.32,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000032,2026-08-27T10:05:48,10000032,pay_mon_0000032,merchant_029,0.267615,ALLOW,False,NORMAL_PAYMENT,NONE,41.35,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000033,2026-08-27T10:06:00,10000033,pay_mon_0000033,merchant_068,0.070476,ALLOW,False,NORMAL_PAYMENT,NONE,33.88,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000034,2026-08-27T10:06:11,10000034,pay_mon_0000034,merchant_060,0.081506,ALLOW,False,NORMAL_PAYMENT,NONE,303.05,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000035,2026-08-27T10:06:22,10000035,pay_mon_0000035,merchant_071,0.028582,ALLOW,False,NORMAL_PAYMENT,NONE,48.26,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000036,2026-08-27T10:06:33,10000036,pay_mon_0000036,merchant_028,0.10794,ALLOW,False,NORMAL_PAYMENT,NONE,37.21,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000037,2026-08-27T10:06:45,10000037,pay_mon_0000037,merchant_101,0.125069,ALLOW,False,NORMAL_PAYMENT,NONE,106.23,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000038,2026-08-27T10:06:56,10000038,pay_mon_0000038,merchant_016,0.103717,ALLOW,False,NORMAL_PAYMENT,NONE,95.51,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000039,2026-08-27T10:07:07,10000039,pay_mon_0000039,merchant_015,0.111953,ALLOW,False,NORMAL_PAYMENT,NONE,259.31,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000040,2026-08-27T10:07:18,10000040,pay_mon_0000040,merchant_059,0.232607,ALLOW,False,NORMAL_PAYMENT,NONE,18.05,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000041,2026-08-27T10:07:30,10000041,pay_mon_0000041,merchant_116,0.229853,ALLOW,False,NORMAL_PAYMENT,NONE,80.14,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000042,2026-08-27T10:07:41,10000042,pay_mon_0000042,merchant_051,0.048761,ALLOW,False,NORMAL_PAYMENT,NONE,187.07,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000043,2026-08-27T10:07:52,10000043,pay_mon_0000043,merchant_027,0.031268,ALLOW,False,NORMAL_PAYMENT,NONE,49.4,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000044,2026-08-27T10:08:03,10000044,pay_mon_0000044,merchant_116,0.031694,ALLOW,False,NORMAL_PAYMENT,NONE,171.31,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000045,2026-08-27T10:08:15,10000045,pay_mon_0000045,merchant_005,0.03877,ALLOW,False,NORMAL_PAYMENT,NONE,161.97,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000046,2026-08-27T10:08:26,10000046,pay_mon_0000046,merchant_023,0.150271,ALLOW,False,NORMAL_PAYMENT,NONE,182.5,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000047,2026-08-27T10:08:37,10000047,pay_mon_0000047,merchant_019,0.171673,ALLOW,False,NORMAL_PAYMENT,NONE,22.5,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000048,2026-08-27T10:08:48,10000048,pay_mon_0000048,merchant_045,0.037803,ALLOW,False,NORMAL_PAYMENT,NONE,14.58,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000049,2026-08-27T10:09:00,10000049,pay_mon_0000049,merchant_114,0.12054,ALLOW,False,NORMAL_PAYMENT,NONE,22.29,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000050,2026-08-27T10:09:11,10000050,pay_mon_0000050,merchant_065,0.032331,ALLOW,False,NORMAL_PAYMENT,NONE,54.83,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000051,2026-08-27T10:09:22,10000051,pay_mon_0000051,merchant_083,0.14273,ALLOW,False,NORMAL_PAYMENT,NONE,69.87,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000052,2026-08-27T10:09:33,10000052,pay_mon_0000052,merchant_081,0.248772,ALLOW,False,NORMAL_PAYMENT,NONE,54.47,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000053,2026-08-27T10:09:45,10000053,pay_mon_0000053,merchant_048,0.054973,ALLOW,False,NORMAL_PAYMENT,NONE,43.7,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000054,2026-08-27T10:09:56,10000054,pay_mon_0000054,merchant_072,0.099296,ALLOW,False,NORMAL_PAYMENT,NONE,123.35,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000055,2026-08-27T10:10:07,10000055,pay_mon_0000055,merchant_120,0.823514,REVIEW,False,NORMAL_PAYMENT,NONE,45.42,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000056,2026-08-27T10:10:18,10000056,pay_mon_0000056,merchant_112,0.059119,ALLOW,False,NORMAL_PAYMENT,NONE,49.42,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000057,2026-08-27T10:10:30,10000057,pay_mon_0000057,merchant_022,0.850071,REVIEW,True,DEBIT_SERVICE_MISMATCH,HIGH,41.88,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000058,2026-08-27T10:10:41,10000058,pay_mon_0000058,merchant_067,0.135265,ALLOW,False,NORMAL_PAYMENT,NONE,26.03,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000059,2026-08-27T10:10:52,10000059,pay_mon_0000059,merchant_102,0.132471,ALLOW,False,NORMAL_PAYMENT,NONE,105.94,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000060,2026-08-27T10:11:03,10000060,pay_mon_0000060,merchant_051,0.080104,ALLOW,False,NORMAL_PAYMENT,NONE,147.28,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
