payment_id,merchant_id,amount,payment_method,bank_debited,gateway_status,order_status,service_delivered,callback_received,refund_status,retry_count,time_since_payment_minutes,customer_complaint,fraud_risk_score,scenario,incident_label,incident_type,synthetic_data_note
pay_syn_000001,merchant_005,157.73,netbanking,True,failed,failed,False,False,none,1,89,False,0.223983,DEBIT_SERVICE_MISMATCH,True,DEBIT_SERVICE_MISMATCH,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000002,merchant_027,102.42,wallet,True,captured,fulfilled,True,True,none,0,4,False,0.013986,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000003,merchant_042,299.72,wallet,True,captured,confirmed,False,True,none,1,50,False,0.124319,CAPTURED_UNFULFILLED,True,CAPTURED_BUT_UNFULFILLED,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000004,merchant_113,112.8,upi,False,failed,failed,False,True,none,0,5,False,0.009235,FAILED_SAFE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000005,merchant_101,98.95,wallet,True,captured,fulfilled,True,True,none,1,17,False,0.044456,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000006,merchant_065,81.13,wallet,True,pending,created,False,False,none,3,79,False,0.013906,RETRY_RISK,True,RETRY_RELATED_PAYMENT_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000007,merchant_041,34.07,netbanking,True,failed,failed,False,False,none,2,174,False,0.016879,DEBIT_SERVICE_MISMATCH,True,DEBIT_SERVICE_MISMATCH,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000008,merchant_005,59.73,netbanking,True,failed,failed,False,False,none,1,55,False,0.103906,DEBIT_SERVICE_MISMATCH,True,DEBIT_SERVICE_MISMATCH,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000009,merchant_080,54.59,card,True,captured,fulfilled,True,True,none,0,11,False,0.117088,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000010,merchant_078,51.28,wallet,True,captured,fulfilled,True,True,none,1,16,False,0.095629,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000011,merchant_052,49.43,upi,True,captured,fulfilled,True,True,none,0,13,False,0.077747,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000012,merchant_074,51.43,netbanking,True,pending,created,False,False,none,2,135,False,0.033641,LATE_AUTHORIZATION,True,LATE_AUTHORIZATION_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000013,merchant_066,92.11,netbanking,False,failed,failed,False,True,none,0,5,False,0.07265,FAILED_SAFE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000014,merchant_065,12.11,netbanking,True,captured,confirmed,False,True,none,0,65,False,0.102194,CAPTURED_UNFULFILLED,True,CAPTURED_BUT_UNFULFILLED,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000015,merchant_055,85.57,wallet,True,captured,fulfilled,True,True,none,1,7,False,0.026851,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000016,merchant_021,13.15,wallet,True,captured,fulfilled,True,True,none,0,15,False,0.050485,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000017,merchant_053,35.07,card,False,failed,failed,False,True,none,0,3,False,0.160519,FAILED_SAFE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000018,merchant_063,31.92,card,True,captured,fulfilled,True,True,none,0,17,False,0.142377,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000019,merchant_081,54.2,card,True,captured,confirmed,False,True,none,0,138,False,0.132713,CAPTURED_UNFULFILLED,True,CAPTURED_BUT_UNFULFILLED,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000020,merchant_032,82.01,card,False,failed,failed,False,True,none,1,9,False,0.108084,FAILED_SAFE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000021,merchant_107,43.41,card,True,failed,failed,False,False,none,2,131,False,0.049635,DEBIT_SERVICE_MISMATCH,True,DEBIT_SERVICE_MISMATCH,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000022,merchant_002,75.42,upi,True,captured,fulfilled,True,True,none,0,9,False,0.040449,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000023,merchant_010,126.51,wallet,True,pending,created,False,False,none,5,84,False,0.14235,RETRY_RISK,True,RETRY_RELATED_PAYMENT_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000024,merchant_001,104.38,card,True,captured,cancelled,False,True,none,0,128,False,0.084706,REFUND_REQUIRED,True,REFUND_REQUIRED,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000025,merchant_115,50.95,upi,True,failed,failed,False,False,none,1,139,False,0.025558,DEBIT_SERVICE_MISMATCH,True,DEBIT_SERVICE_MISMATCH,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_syn_000026,merchant_057,55.59,upi,True,captured,fulfilled,True,True,none,0,2,False,0.002688,NORMAL,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
