payment_id,merchant_id,amount,payment_method,bank_debited,gateway_status,order_status,service_delivered,callback_received,refund_status,retry_count,time_since_payment_minutes,customer_complaint,fraud_risk_score,scenario,incident_label,incident_type,synthetic_data_note
pay_stress_000001,merchant_120,55.43,wallet,True,captured,fulfilled,True,True,none,3,21,False,0.066731,SUCCESSFUL_WITH_RETRIES,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000002,merchant_031,148.09,netbanking,True,pending,created,False,False,none,2,54,False,0.107186,LATE_AUTHORIZATION,True,LATE_AUTHORIZATION_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000003,merchant_002,17.69,upi,True,captured,cancelled,False,True,pending,0,80,False,0.069877,REFUND_PENDING,True,CAPTURED_BUT_UNFULFILLED,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000004,merchant_071,15.41,wallet,False,failed,failed,False,True,none,1,12,False,0.063382,SAFE_FAILURE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000005,merchant_066,7.46,wallet,True,refunded,cancelled,False,True,processed,1,217,True,0.099368,COMPLAINT_RESOLVED,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000006,merchant_113,90.8,wallet,True,refunded,cancelled,False,True,processed,0,282,True,0.050399,COMPLAINT_RESOLVED,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000007,merchant_079,76.13,upi,False,failed,failed,False,True,none,1,14,False,0.10505,SAFE_FAILURE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000008,merchant_041,9.87,netbanking,True,pending,created,False,False,none,2,57,False,0.021966,LATE_AUTHORIZATION,True,LATE_AUTHORIZATION_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000009,merchant_023,118.99,netbanking,True,pending,created,False,False,none,0,7,False,0.316207,DELAYED_CALLBACK_SHORT,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000010,merchant_035,179.66,netbanking,True,refunded,cancelled,False,True,processed,0,342,True,0.133498,COMPLAINT_RESOLVED,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000011,merchant_063,65.5,wallet,True,captured,fulfilled,True,True,none,4,12,False,0.073944,SUCCESSFUL_WITH_RETRIES,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000012,merchant_013,102.8,upi,True,captured,fulfilled,True,True,none,5,29,False,0.14799,SUCCESSFUL_WITH_RETRIES,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000013,merchant_041,159.06,wallet,False,failed,failed,False,True,none,4,53,False,0.171942,HIGH_RETRIES_NO_DEBIT,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000014,merchant_058,63.81,netbanking,True,refunded,cancelled,False,True,processed,1,184,True,0.081499,COMPLAINT_RESOLVED,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000015,merchant_038,150.49,netbanking,True,pending,created,False,False,none,2,40,False,0.082818,DELAYED_CALLBACK_LONG,True,LATE_AUTHORIZATION_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000016,merchant_081,86.93,netbanking,True,refunded,cancelled,False,True,processed,1,331,True,0.119122,COMPLAINT_RESOLVED,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000017,merchant_044,123.38,upi,False,failed,failed,False,True,none,1,9,False,0.149535,SAFE_FAILURE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000018,merchant_002,145.24,card,True,pending,created,False,False,none,2,73,False,0.275324,LATE_AUTHORIZATION,True,LATE_AUTHORIZATION_RISK,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000019,merchant_076,170.72,wallet,True,failed,failed,False,False,none,1,163,False,0.023645,LOW_FRAUD_CLEAR_INCIDENT,True,DEBIT_SERVICE_MISMATCH,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000020,merchant_065,36.08,upi,False,failed,failed,False,True,none,1,5,False,0.086796,SAFE_FAILURE,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000021,merchant_001,110.22,netbanking,False,failed,failed,False,True,none,6,67,False,0.213719,HIGH_RETRIES_NO_DEBIT,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000022,merchant_073,56.21,card,True,captured,fulfilled,True,True,none,3,41,False,0.102048,SUCCESSFUL_WITH_RETRIES,False,NORMAL_PAYMENT,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
pay_stress_000023,merchant_101,78.09,card,True,captured,cancelled,False,True,pending,0,51,False,0.11437,REFUND_PENDING,True,CAPTURED_BUT_UNFULFILLED,This dataset is simulated for hackathon demonstration and does not represent proprietary payment-provider data.
